,mean_abs_shap
selected_feature_62,0.03157604782949449
selected_feature_79,0.022003484642988503
selected_feature_72,0.021323507973519548
selected_feature_43,0.01860051360723077
selected_feature_13,0.015450825666560343
selected_feature_52,0.015415651436453936
selected_feature_31,0.013329558488999058
selected_feature_12,0.009702800490134979
selected_feature_16,0.009127127016554026
selected_feature_42,0.009022246877959196
selected_feature_55,0.007748831896443133
selected_feature_65,0.007358629432731039
selected_feature_41,0.007102167520910171
selected_feature_28,0.006453111464788234
selected_feature_51,0.0063834635868881915
selected_feature_44,0.0062058131987825695
selected_feature_33,0.006194695577213571
selected_feature_81,0.006114213155234714
selected_feature_11,0.0060790485289719445
selected_feature_6,0.005969157746687682
selected_feature_35,0.005607773984515793
selected_feature_50,0.005201989941711393
selected_feature_17,0.0051608845485082225
selected_feature_23,0.005029061648679841
selected_feature_56,0.004918177148543214
selected_feature_0,0.004714892467138926
selected_feature_27,0.0045564885728950335
selected_feature_19,0.004427623468179077
selected_feature_61,0.004376143437301457
selected_feature_59,0.004179366031637376
selected_feature_74,0.004028642134945509
selected_feature_36,0.0035540120646974237
selected_feature_10,0.0034505483057026957
selected_feature_4,0.003341807460447184
selected_feature_34,0.0031099694156768516
selected_feature_80,0.0029990700159570425
selected_feature_2,0.002997141157944912
selected_feature_15,0.0029800729725972335
selected_feature_3,0.002942597248113569
selected_feature_75,0.0028104744847673524
selected_feature_37,0.0026089778879421466
selected_feature_24,0.002578571510484547
selected_feature_82,0.00248750295009742
selected_feature_29,0.0024643456679916183
selected_feature_73,0.0023061013808638843
selected_feature_63,0.0022655964914985857
selected_feature_70,0.002092640973071682
selected_feature_53,0.002067735617108551
selected_feature_40,0.0020230249471132554
selected_feature_45,0.001958767299849937
selected_feature_47,0.001883270366725031
selected_feature_14,0.0018368373817138734
selected_feature_66,0.0016411703596733126
selected_feature_22,0.0015912209699504316
selected_feature_57,0.0014984372516496768
selected_feature_48,0.0014713541437072354
selected_feature_38,0.0014499274114814966
selected_feature_77,0.0014209344840664295
selected_feature_58,0.0014153397447576402
selected_feature_1,0.0013809254029941954
selected_feature_49,0.0013330895263359364
selected_feature_78,0.001107803577716316
selected_feature_67,0.0010908619668082624
selected_feature_5,0.0010445896866199953
selected_feature_30,0.0010349599035033095
selected_feature_32,0.0010307235054209784
selected_feature_76,0.0009654959147794847
selected_feature_39,0.0009357577680606283
selected_feature_54,0.0009149771632899667
selected_feature_64,0.000847891559731701
selected_feature_26,0.0007844510387505628
selected_feature_60,0.0007647176924740499
selected_feature_46,0.0007503294729096047
selected_feature_20,0.0007277325638151512
selected_feature_21,0.0007123534496693519
selected_feature_18,0.0006734093487147123
selected_feature_7,0.0006135720274071471
selected_feature_69,0.0005976169035004828
selected_feature_68,0.0005605470825291365
selected_feature_71,0.0005290228749811368
selected_feature_9,0.0002889299562992774
selected_feature_8,0.00019900854677402233
selected_feature_25,5.1161299539411965e-05
