rank,tree_based,shap_based
1,selected_feature_13,selected_feature_62
2,selected_feature_43,selected_feature_79
3,selected_feature_31,selected_feature_72
4,selected_feature_12,selected_feature_43
5,selected_feature_62,selected_feature_13
6,selected_feature_52,selected_feature_52
7,selected_feature_79,selected_feature_31
8,selected_feature_16,selected_feature_12
9,selected_feature_65,selected_feature_16
10,selected_feature_41,selected_feature_42
11,selected_feature_51,selected_feature_55
12,selected_feature_81,selected_feature_65
13,selected_feature_72,selected_feature_41
14,selected_feature_40,selected_feature_28
15,selected_feature_42,selected_feature_51
16,selected_feature_56,selected_feature_44
17,selected_feature_0,selected_feature_33
18,selected_feature_33,selected_feature_81
19,selected_feature_3,selected_feature_11
20,selected_feature_55,selected_feature_6
